recordID,analysisSingularTheme,p_stem_syllabified,p_stem_syllabified_corrected,Notes,lexiconGlossEnglish
775,busskka,bu.ssk.ka,bus.sk.ka,coda better for geminate,snake species (similar to cobra)
1064,mssggar,m.ssg.gar,ms.sg.gar,coda better for geminate,pledge
1194,mllʁtazlaft,m.llʁ.taz.la.ft,ml.lʁ.taz.la.ft,coda better for geminate,freeloader
1380,ammn,a.mmn,am.mn,coda better for geminate,honey
1945,sillf,si.llf,sil.lf,coda better for geminate,"sign, gesture"
2526,lmqqttʕ,lm.qqt.tʕ,l.mq.qt.tʕ,coda better for geminate,miserable person
2691,zllmza,z.llm.za,zl.lm.za,coda better for geminate,croaker
2699,ʕli!iʒʒan,ʕl.iiʒ.ʒan,ʕ.liʒ.ʒan,dropped segment,ballista
150,ssgni,ssg.ni,s.sg.ni,fixed split of init. gem,needle
331,!sskkid,ssk.kid,s.sk.kid,fixed split of init. gem,branch (of a tree)
1121,ssgni,ssg.ni,s.sg.ni,fixed split of init. gem,minute hand
2328,!rrmman,rrm.man,r.rm.man,fixed split of init. gem,pomegranate
2339,!ssbbat,ssb.bat,s.sb.bat,fixed split of init. gem,shoes
2599,nnmra,nnm.ra,n.nm.ra,fixed split of init. gem,number
2600,nnqqʷr,nnq.qr,n.nq.qr,fixed split of init. gem,silver
2613,ssbsi,ssb.si,s.sb.si,fixed split of init. gem,pipe
2618,sskwila,ssk.wi.la,s.sk.wi.la,fixed split of init. gem,school
2700,ssgni,ssg.ni,s.sg.ni,fixed split of init. gem,Orphie
2343,!sskkwar,ssk.k.war,s.sk.kar,"fixed split of init. gem, deleted segment",sugar
1,lmʕzz,lm.ʕz.z,lm.ʕzz,gem=complex coda,affection
55,aʒʒgal,aʒ.ʒ.gal,aʒʒ.gal,gem=complex coda,kind of bag or satchel
419,!muʃʃ,muʃ.ʃ,muʃʃ,gem=complex coda,cat
1309,!mddsr,md.d.sr,mdd.sr,gem=complex coda,"impolite, turbulent person"
1992,ukksa,uk.k.sa,ukk.sa,gem=complex coda,"subtraction, weaning"
2097,!tuzzgt,tu.zz.gt,tuzz.gt,gem=complex coda,"milking, milking action"
2351,!akkʷzin,ak.k.zin,akk.zin,gem=complex coda,afternoon
2429,malass,ma.las.s,ma.lass,gem=complex coda,week
2474,lħaʒʒ,l.ħaʒ.ʒ,l.ħaʒʒ,gem=Complex coda,pilgrim
2520,lmiziria,l.mi.zir.ia,l.mi.zir.ja,i > j in onset,poverty
1841,wlk,,wlk,left empty,pannier bag
2016,wrz,,wrz,left empty,heel
149,ismmji,is.mm.ji,i.smm.ji,onsetless gem,"bitterness, acidity"
63,msijjs,m.si.j.js,m.sij.js,onsetless syllable,tamer
768,!rrgg,rrg.g,rr.gg,onsetless syllable,"erg, broad flat area of desert"
1954,mdwws,m.d.w.ws,m.dw.ws,onsetless syllable,solid thing or person
12,!mʃʃuwra,mʃw.ʃu.ra,mʃ.ʃuw.ra,switched linear order,consultation
14,!mrrujsa,mrj.ru.sa,mr.ruj.sa,switched linear order,"leadership, responsibility of a leader, quality of a leader"
22,!nttujfa,ntj.tu.fa,nt.tuj.fa,switched linear order,???
40,wwurga,wurw.ga,w.wur.ga,Switched linear order,dream
107,ijji,i.jij,ij.ji,switched linear order,act of striking
412,wwullu,wul.luw,w.wu.lu,switched linear order,plow
420,msruj,msj.ru,ms.ruj,switched linear order,"skin abrasion, like a skinned knee"
793,!mrruj,mrj.ru,mr.ruj,switched linear order,spark
966,!rrmuj,rrj.mu,rr.muj,switched linear order,tired
1067,wlal,lalw,w.lal,switched linear order,ganglion
1220,wraʁ,raʁw,w.raʁ,switched linear order,yellow person or thing
1274,wtil,tilw,w.til,switched linear order,hare
1407,frkkuj,frkj.ku,frk.kuj,switched linear order,piece
1412,brzzuj,brzj.zu,brz.zuj,switched linear order,"piece, shard"
1425,hruj,hj.ru,h.ruj,switched linear order,sheep
1483,wwuri,wu.riw,w.wu.ri,switched linear order,occupation
1500,!wsad,sadw,w.sad,switched linear order,pillow
1625,!bijbzdan,bi.bzj.dan,bij.bz.dan,switched linear order,pissing
1628,smummuj,sj.mum.mu,s.mum.muj,switched linear order,complaint
1968,wsaj,sajw,w.saj,switched linear order,kind of turnip
2073,sfiw,sw.fi,s.fiw,switched linear order,torch
2168,ʒiwwi,ʒi.wiw,ʒiw.wi,switched linear order,strong wind
2306,!lʒutij,lj.ʒu.ti,l.ʒu.tij,switched linear order,frippery
2314,!lχtij,lχj.ti,lχ.tij,switched linear order,penalty
2327,!rrij,rj.ri,r.rij,switched linear order,opinion
2356,!rbʕij,rbj.ʕi,rb.ʕij,switched linear order,measure
2365,!ttrbij,tj.tr.bi,t.tr.bij,switched linear order,education
2415,ddriwʃ,d.ri.wʃd,dd.ri.wʃ,switched linear order,gentle or poor person
2477,lhdij,lhj.di,lh.dij,switched linear order,gifts
2596,nnij,nj.ni,n.nij,switched linear order,faith
2603,ʁijjid,ʁi.jidj,ʁij.jid,switched linear order,by night
