Rank,RecordID,SingularTheme,PluralTheme,InternalChanges,GlossEnglish,ErrorType,IdiosyncracyScore,LSTM_Confidence,MP_Confidence
1,1727,anu,una,Ablaut,well,LSTM Fail,0.993,0.993,0.809
2,402,urar,urar,,"singing, song",MP Fail,0.992,0.621,0.992
3,1540,wal,waliw,Final Vw,"speech, language",MP Fail,0.988,0.597,0.988
4,1131,gru,gʷra,Ablaut,frog,LSTM Fail,0.973,0.973,0.867
5,716,frag,frga,Final A,"enclosure, fence, fencing",MP Fail,0.972,0.846,0.972
6,1676,ʒdaʕ,ʒdaʕ,,foal,MP Fail,0.966,0.519,0.966
7,1148,!kabar,!kabar,,"group, convoy",MP Fail,0.961,0.754,0.961
8,219,!ʃʃaħur,!ʃʃuħar,Ablaut,miser,MP Fail,0.958,0.846,0.958
9,243,amar,imariw,Final Vw,beard,MP Fail,0.952,0.703,0.952
10,1370,!ʕbbar,!ʕbbar,,"measuring, measuring vessel, weighing or measuring person",MP Fail,0.948,0.559,0.948
11,78,gʷilal,gʷilal,,kind of horse with long mane (foal),MP Fail,0.947,0.791,0.947
12,1002,staj,staj,,"filter, strainer",MP Fail,0.946,0.901,0.946
13,1331,mʁra,mʁriw,,marriage,MP Fail,0.938,0.644,0.938
14,937,mʕgaz,mʕgaz,,lazy (person),MP Fail,0.935,0.786,0.935
15,1019,!anud,!unad,Ablaut,forge,MP Fail,0.933,0.808,0.933
16,1096,kʷba,kʷbat,Insert C,lap (waist to knees),MP Fail,0.931,0.869,0.931
17,1230,mʒarraj,mʒarraj,,imitating a child's toy car,MP Fail,0.930,0.809,0.930
18,286,umlil,umlil,,white,MP Fail,0.926,0.504,0.926
19,1412,brzzuj,brzzaj,Ablaut,"piece, shard",MP Fail,0.925,0.825,0.925
20,1783,utʃi,utʃa,Ablaut,meal,MP Fail,0.924,0.517,0.924
