output_row,input,source_column,gloss,plural_theme,singular_theme
8,gʃrar,analysisPluralTheme,balance (tool),gʃrar,gʃrir
9,χʷsmar,analysisPluralTheme,beardless chin,χʷsmar,χʷsmar
10,lħsab,analysisPluralTheme,calculation,lħsab,lħsab
11,ktatbi,analysisPluralTheme,activity of a public writer,ktatbi,ktatbi
42,skazzaj,analysisPluralTheme,screeching,skazzaj,skazzaj
45,guriw,analysisPluralTheme,oversize,guriw,guri
48,sksal,analysisPluralTheme,type of window,sksal,sksl
49,smkal,analysisPluralTheme,food container,smkal,smkl
50,mʕʃʃr,analysisPluralTheme,"fellow, companion",mʕʃʃr,mʕʃʃr
51,gʒdr,analysisPluralTheme,nonsense,gʒdr,
52,ssnda,analysisPluralTheme,wooden shaker of a wineskin for churning milk (for butter),ssnda,ssndu
54,!frziz,analysisPluralTheme,gourd,!frziz,!frziz
55,aʒʒgal,analysisPluralTheme,kind of bag or satchel,aʒʒgal,aʒʒgal
56,kʷntar,analysisPluralTheme,goat,kʷntar,kntur
57,sbbab,analysisPluralTheme,person who helps with birth,sbbab,sbbab
59,!ʃbar,analysisPluralTheme,promontory dominating a locality,!ʃbar,!ʃbar
60,ussif,analysisPluralTheme,splinter,ussif,ussif
61,uzlim,analysisPluralTheme,scissors,uzlim,uzlim
62,msijjs,analysisPluralTheme,tamer,msijjs,msijjs
63,!ʃbura,analysisPluralTheme,a kind of plant,!ʃbura,!ʃbaru
64,ħbari,analysisPluralTheme,type of horse,ħbari,ħbari
65,ndura,analysisPluralTheme,someone who shares a meal,ndura,ndaru
67,sutam,analysisPluralTheme,niche,sutam,satm
69,!mazuz,analysisPluralTheme,grown late in the agricultural year,!mazuz,!mazuz
70,gʷilal,analysisPluralTheme,kind of horse with long mane (foal),gʷilal,gʷilal
71,kʷndrras,analysisPluralTheme,"giblets, salted and dried",kʷndrras,kʷndrris
73,stara,analysisPluralTheme,"chords (music), musical preamble",stara,stara
74,nrbay,analysisPluralTheme,given birth,nrbay,nrbi
76,msaʁ,analysisPluralTheme,buyer,msaʁ,msaʁ
79,skkir,analysisPluralTheme,"act, attitude",skkir,skkir
80,!mʕʃur,analysisPluralTheme,actor carnival,!mʕʃur,!mʕʃur
83,ukkim,analysisPluralTheme,beating,ukkim,ukkim
85,arrag,analysisPluralTheme,act of breaking,arrag,arrag
86,baks,analysisPluralTheme,act of girding,baks,biks
87,addal,analysisPluralTheme,"act of covering, shawl",addal,addal
98,draw,analysisPluralTheme,act of eating in community,draw,draw
100,smal,analysisPluralTheme,act of showing,smal,smal
101,!zid,analysisPluralTheme,"act of grinding, ground grain",!zid,!zid
102,ʃtibbiʃ,analysisPluralTheme,act of wading,ʃtibbiʃ,ʃtibbʃ
107,mmussut,analysisPluralTheme,act of stirring,mmussut,mmussu
108,skubbr,analysisPluralTheme,act of squatting,skubbr,skubbr
114,ʒgugal,analysisPluralTheme,act of suspending ...,ʒgugal,ʒgugl
115,!suda,analysisPluralTheme,"action of blowing (pejorative), anus (by metonymy)",!suda,!sud
116,sram,analysisPluralTheme,act of sharpening,sram,sram
125,mχznaj,analysisPluralTheme,enforcement officer (mokhazni),mχznaj,mχzni
126,lqqaʕ,analysisPluralTheme,lamb,lqqaʕ,lqqaʕ
127,ʕwin,analysisPluralTheme,aid,ʕwin,ʕwin
129,gidar,analysisPluralTheme,"eagle, hawk",gidar,gidr
132,ssgna(j),analysisPluralTheme,needle,ssgna(j),ssgni
136,suqqas,analysisPluralTheme,sting,suqqas,saqqʷs
138,farr(a),analysisPluralTheme,wing,farr(a),fr
139,fraw,analysisPluralTheme,"leaf, wing",fraw,fr
140,nrar,analysisPluralTheme,area,nrar,nrar
141,luqqid,analysisPluralTheme,match,luqqid,luqqid
142,!lʕjad,analysisPluralTheme,lark,!lʕjad,!lʕjud
143,illwaz,analysisPluralTheme,almond,illwaz,alluz
144,ħbib,analysisPluralTheme,lover,ħbib,ħbib
145,hwawi,analysisPluralTheme,lover of music and singing,hwawi,hwawi
147,mddakkal,analysisPluralTheme,friend,mddakkal,mddakkʷl
151,lbbiʁ,analysisPluralTheme,bulb (skin irritant),lbbiʁ,lbbiʁ
153,rggim,analysisPluralTheme,"curse, insult",rggim,rggim
154,qdim,analysisPluralTheme,old,qdim,qdim
155,ʁʷjjal,analysisPluralTheme,donkey,ʁʷjjal,ʁjjul
156,!azʁiw,analysisPluralTheme,angina,!azʁiw,!azʁa
157,χlχal,analysisPluralTheme,ring,χlχal,χlχal
158,sggʷas,analysisPluralTheme,year,sggʷas,sggʷas
161,mgrad,analysisPluralTheme,"tamed, domesticated",mgrad,mgrud
164,aʕrab,analysisPluralTheme,Arabic,aʕrab,aʕrab
166,qarid,analysisPluralTheme,money,qarid,qarid
170,snas,analysisPluralTheme,non-adult donkey,snas,snus
